Accession,BioSample,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MT361920,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH44,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361921,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH45,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361922,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH46,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361923,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH47,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361924,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH48,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361925,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH49,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361926,,Human astrovirus 2,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH50,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361927,,Human astrovirus 8,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH51,318,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361928,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH52,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361929,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH53,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361930,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH54,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361931,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH55,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361932,,Human astrovirus 2,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH56,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361933,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH57,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361934,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH58,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361935,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH59,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361936,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH60,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361937,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH61,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361938,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH62,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-03,2021-10-01,ssRNA(+)
MT361939,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH63,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361940,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH64,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361941,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH65,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361942,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH66,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361943,,Human astrovirus 3,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH67,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361944,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH68,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361945,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH69,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361946,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH70,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361947,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH71,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361948,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH72,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-04,2021-10-01,ssRNA(+)
MT361949,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH73,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-05,2021-10-01,ssRNA(+)
MT361950,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH74,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-05,2021-10-01,ssRNA(+)
MT361951,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH75,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-05,2021-10-01,ssRNA(+)
MT361952,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH76,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-02,2021-10-01,ssRNA(+)
MT361953,,Human astrovirus 4,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH77,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-06,2021-10-01,ssRNA(+)
MT361954,,Human astrovirus 8,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH78,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-05,2021-10-01,ssRNA(+)
MT361955,,Human astrovirus 5,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH79,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-06,2021-10-01,ssRNA(+)
MT361956,,Human astrovirus 8,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH80,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-08,2021-10-01,ssRNA(+)
MT361957,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH81,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-09,2021-10-01,ssRNA(+)
MT361958,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH82,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-10,2021-10-01,ssRNA(+)
MT361959,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH83,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-11,2021-10-01,ssRNA(+)
MT361960,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH84,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-12,2021-10-01,ssRNA(+)
MT361961,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH85,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-12,2021-10-01,ssRNA(+)
MT361962,,Human astrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,SH86,319,partial,China,China,Homo sapiens,feces,"Wu,L., Teng,Z., Lin,Q., Xie,Y., Zhang,X.",2016-12,2021-10-01,ssRNA(+)
MT766313,,Microbat bastrovirus,Microbat bastrovirus,,Astroviridae,,Vr2,5264,complete,Australia,Australia,Eptesicus regulus,,"O'Dea,M.A., Prada,D., Jackson,B.",2017,2021-09-29,ssRNA(+)
MZ367612,,Goose astrovirus,Goose astrovirus,Avastrovirus,Astroviridae,,HNNY0620,7166,complete,China,China,,"kidney, abdominal cavity","Chen,Q., Yu,Z., Xu,X., Ji,J., Yao,L., Kan,Y., Bi,Y., Xie,Q.",2020-06-20,2021-09-27,ssRNA(+)
MZ603071,SAMN19188303,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,HAstV-MLB1_RVAB,6168,partial,Belgium,Belgium,Homo sapiens,feces,"Simsek,C., Bloemen,M., Jansen,D., Beller,L., Descheemaeker,P., Reynders,M., Van Ranst,M., Matthijnssens,J.",2010,2021-09-22,ssRNA(+)
MZ603072,SAMN19188303,Human astrovirus,Human astrovirus,,Astroviridae,,HAstV-1_1_RVAB,6732,partial,Belgium,Belgium,Homo sapiens,feces,"Simsek,C., Bloemen,M., Jansen,D., Beller,L., Descheemaeker,P., Reynders,M., Van Ranst,M., Matthijnssens,J.",2015,2021-09-22,ssRNA(+)
MZ603074,SAMN19188303,Human astrovirus,Human astrovirus,,Astroviridae,,HAstV-1_2_RVAB,6651,partial,Belgium,Belgium,Homo sapiens,feces,"Simsek,C., Bloemen,M., Jansen,D., Beller,L., Descheemaeker,P., Reynders,M., Van Ranst,M., Matthijnssens,J.",2009,2021-09-22,ssRNA(+)
MZ603076,SAMN19188303,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,HAstV-VA2_RVAB,6447,partial,Belgium,Belgium,Homo sapiens,feces,"Simsek,C., Bloemen,M., Jansen,D., Beller,L., Descheemaeker,P., Reynders,M., Van Ranst,M., Matthijnssens,J.",2010,2021-09-22,ssRNA(+)
MZ603079,SAMN19188303,Human astrovirus 3,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,HAstV-3_RVAB,6627,partial,Belgium,Belgium,Homo sapiens,feces,"Simsek,C., Bloemen,M., Jansen,D., Beller,L., Descheemaeker,P., Reynders,M., Van Ranst,M., Matthijnssens,J.",2011,2021-09-22,ssRNA(+)
MW826371,SAMN18137052,Avastrovirus sp.,Avastrovirus sp.,Avastrovirus,Astroviridae,,XZN01,6820,partial,China,China,Aves,feces,"Zhu,W., Huang,Y., Yang,J.",2018-04,2021-09-20,ssRNA(+)
MW826416,SAMN18125845,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,XZS01,7066,partial,China,China,Rattus,feces,"Zhu,W., Huang,Y., Yang,J.",2018-04,2021-09-20,ssRNA(+)
MW826482,SAMN18121159,Avastrovirus sp.,Avastrovirus sp.,Avastrovirus,Astroviridae,,YSN02,6835,partial,China,China,Aves,feces,"Zhu,W., Huang,Y., Yang,J.",2019-07,2021-09-20,ssRNA(+)
MW826483,SAMN18121159,Avastrovirus sp.,Avastrovirus sp.,Avastrovirus,Astroviridae,,YSN01,6948,partial,China,China,Aves,feces,"Zhu,W., Huang,Y., Yang,J.",2019-07,2021-09-20,ssRNA(+)
MW826530,SAMN18118618,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,YSS03,6953,partial,China,China,Rattus,feces,"Zhu,W., Huang,Y., Yang,J.",2019-07,2021-09-20,ssRNA(+)
MW826531,SAMN18118618,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,YSS01,5779,partial,China,China,Rattus,feces,"Zhu,W., Huang,Y., Yang,J.",2019-07,2021-09-20,ssRNA(+)
MW826532,SAMN18118618,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,YSS02,5779,partial,China,China,Rattus,feces,"Zhu,W., Huang,Y., Yang,J.",2019-07,2021-09-20,ssRNA(+)
MN217590,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217591,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217592,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217593,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217594,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217595,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217596,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217597,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217598,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217599,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217600,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217601,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217602,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217603,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217604,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217605,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217606,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217607,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217608,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217609,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217610,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217611,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217612,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217613,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217614,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217615,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217616,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217617,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217618,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217619,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2014,2021-09-17,ssRNA(+)
MN217620,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217621,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-2,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217622,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-2,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217623,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217624,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217625,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217626,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217627,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217628,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217629,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217630,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217631,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217632,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217633,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217634,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217635,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217636,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217637,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217638,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217639,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217640,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217641,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217642,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217643,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217644,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217645,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217646,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217647,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2015,2021-09-17,ssRNA(+)
MN217648,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-1,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217649,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217650,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217651,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217652,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217653,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217654,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217655,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-3,,461,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217656,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-4,,455,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
MN217657,,Human astrovirus,Human astrovirus,,Astroviridae,HAstV-5,,452,partial,China: Shandong,China,Homo sapiens,,"Tao,Z., Xu,A.",2016,2021-09-17,ssRNA(+)
