Accession,Description,Length,Part_1,Part_2,Part_3
OQ236137.1,1335. MAG: Bat astrovirus isolate AstV/GZ/L180.18/2022 genomic sequence,"2,507 bp linear RNA",1335. MAG: Bat astrovirus isolate AstV/GZ/L180.18/2022 genomic sequence,,
OQ236136.1,1336. MAG: Bat astrovirus isolate AstV/GD/L84.18/2021 genomic sequence,"6,936 bp linear RNA",1336. MAG: Bat astrovirus isolate AstV/GD/L84.18/2021 genomic sequence,,
OQ236135.1,1337. MAG: Bat astrovirus isolate AstV/GZ/L173.18/2022 genomic sequence,"4,884 bp linear RNA",1337. MAG: Bat astrovirus isolate AstV/GZ/L173.18/2022 genomic sequence,,
OQ236134.1,1338. MAG: Bat astrovirus isolate AstV/GZ/L162.18b/2022 genomic sequence,"5,795 bp linear RNA",1338. MAG: Bat astrovirus isolate AstV/GZ/L162.18b/2022 genomic sequence,,
OQ236133.1,1339. MAG: Bat astrovirus isolate AstV/GZ/L162.18a/2022 genomic sequence,"2,334 bp linear RNA",1339. MAG: Bat astrovirus isolate AstV/GZ/L162.18a/2022 genomic sequence,,
OQ236132.1,1340. MAG: Bat astrovirus isolate AstV/GZ/L177.18/2022 genomic sequence,"3,390 bp linear RNA",1340. MAG: Bat astrovirus isolate AstV/GZ/L177.18/2022 genomic sequence,,
OQ236131.1,1341. MAG: Bat astrovirus isolate AstV/SC/L74.18f/2021 genomic sequence,"2,977 bp linear RNA",1341. MAG: Bat astrovirus isolate AstV/SC/L74.18f/2021 genomic sequence,,
OQ236130.1,1342. MAG: Bat astrovirus isolate AstV/SC/L74.18e/2021 genomic sequence,"6,704 bp linear RNA",1342. MAG: Bat astrovirus isolate AstV/SC/L74.18e/2021 genomic sequence,,
OQ236129.1,1343. MAG: Bat astrovirus isolate AstV/SC/L74.18d/2021 genomic sequence,"6,698 bp linear RNA",1343. MAG: Bat astrovirus isolate AstV/SC/L74.18d/2021 genomic sequence,,
OQ236128.1,1344. MAG: Bat astrovirus isolate AstV/SC/L74.18c/2021 genomic sequence,"6,708 bp linear RNA",1344. MAG: Bat astrovirus isolate AstV/SC/L74.18c/2021 genomic sequence,,
OQ236127.1,1345. MAG: Bat astrovirus isolate AstV/SC/L74.18b/2021 genomic sequence,"1,664 bp linear RNA",1345. MAG: Bat astrovirus isolate AstV/SC/L74.18b/2021 genomic sequence,,
OQ236126.1,1346. MAG: Bat astrovirus isolate AstV/SC/L74.18a/2021 genomic sequence,"6,716 bp linear RNA",1346. MAG: Bat astrovirus isolate AstV/SC/L74.18a/2021 genomic sequence,,
OQ236125.1,1347. MAG: Bat astrovirus isolate AstV/CQ/L76.18e/2021 genomic sequence,"4,823 bp linear RNA",1347. MAG: Bat astrovirus isolate AstV/CQ/L76.18e/2021 genomic sequence,,
OQ236124.1,1348. MAG: Bat astrovirus isolate AstV/CQ/L76.18d/2021 genomic sequence,"6,747 bp linear RNA",1348. MAG: Bat astrovirus isolate AstV/CQ/L76.18d/2021 genomic sequence,,
OQ236123.1,1349. MAG: Bat astrovirus isolate AstV/CQ/L76.18c/2021 genomic sequence,"6,687 bp linear RNA",1349. MAG: Bat astrovirus isolate AstV/CQ/L76.18c/2021 genomic sequence,,
OQ236122.1,1350. MAG: Bat astrovirus isolate AstV/CQ/L76.18b/2021 genomic sequence,"5,461 bp linear RNA",1350. MAG: Bat astrovirus isolate AstV/CQ/L76.18b/2021 genomic sequence,,
OQ236121.1,1351. MAG: Bat astrovirus isolate AstV/CQ/L76.18a/2021 genomic sequence,"6,711 bp linear RNA",1351. MAG: Bat astrovirus isolate AstV/CQ/L76.18a/2021 genomic sequence,,
OQ236157.1,1352. MAG: Bamboo rat astrovirus isolate AstV/GX/B30M0312/2019 genomic sequence,"3,675 bp linear RNA",1352. MAG: Bamboo rat astrovirus isolate AstV/GX/B30M0312/2019 genomic sequence,,
OQ236156.1,1353. MAG: Bamboo rat astrovirus isolate AstV/GX/B30M0308/2019 genomic sequence,"3,080 bp linear RNA",1353. MAG: Bamboo rat astrovirus isolate AstV/GX/B30M0308/2019 genomic sequence,,
OQ236114.1,1354. MAG: Rhinolophus pusillus astrovirus isolate AstV/GD/L93.21/2022 cRNA sequence,"6,480 bp linear cRNA",1354. MAG: Rhinolophus pusillus astrovirus isolate AstV/GD/L93.21/2022 cRNA sequence,,
OQ236113.1,1355. MAG: Rodent astrovirus isolate AstV/GD/C4-34.18/2021 cRNA sequence,782 bp linear cRNA,1355. MAG: Rodent astrovirus isolate AstV/GD/C4-34.18/2021 cRNA sequence,,
OQ236112.1,1356. MAG: Niviventer sp. astrovirus isolate AstV/GD/C5-49.18/2022 cRNA sequence,"3,908 bp linear cRNA",1356. MAG: Niviventer sp. astrovirus isolate AstV/GD/C5-49.18/2022 cRNA sequence,,
OQ236111.1,1357. MAG: Miniopterus fuliginosus astrovirus isolate AstV/CQ/L79.18/2021 cRNA sequence,"1,858 bp linear cRNA",1357. MAG: Miniopterus fuliginosus astrovirus isolate AstV/CQ/L79.18/2021 cRNA sequence,,
OQ236110.1,1358. MAG: Caracal caracal astrovirus isolate GD/Z31/2022 cRNA sequence,"2,030 bp linear cRNA",1358. MAG: Caracal caracal astrovirus isolate GD/Z31/2022 cRNA sequence,,
PP700500.1,1359. MAG: Eviota astrovirus isolate F32 cRNA sequence,"1,587 bp linear cRNA",1359. MAG: Eviota astrovirus isolate F32 cRNA sequence,,
PP700499.1,1360. MAG: Dascyllus reticulatus astrovirus isolate F31 cRNA sequence,"1,371 bp linear cRNA",1360. MAG: Dascyllus reticulatus astrovirus isolate F31 cRNA sequence,,
PP700498.1,1361. MAG: Chaetodon baronessa astrovirus isolate F30 cRNA sequence,341 bp linear cRNA,1361. MAG: Chaetodon baronessa astrovirus isolate F30 cRNA sequence,,
PP700497.1,1362. MAG: Plagiotremus tapeinosoma astrovirus isolate F29 cRNA sequence,695 bp linear cRNA,1362. MAG: Plagiotremus tapeinosoma astrovirus isolate F29 cRNA sequence,,
PP700496.1,1363. MAG: Chromis viridis astrovirus isolate F28 cRNA sequence,337 bp linear cRNA,1363. MAG: Chromis viridis astrovirus isolate F28 cRNA sequence,,
PP825914.1,"1364. Mamastrovirus sp. isolate 235111(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1364. Mamastrovirus sp. isolate 235111(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",,
PP825913.1,"1365. Mamastrovirus sp. isolate 235098(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1365. Mamastrovirus sp. isolate 235098(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",,
PP825912.1,"1366. Mamastrovirus sp. isolate 234944(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1366. Mamastrovirus sp. isolate 234944(Zhejiang) RNA-dependent RNA polymerase gene, partial cds",,
PP825911.1,"1367. Mamastrovirus sp. isolate 232634(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1367. Mamastrovirus sp. isolate 232634(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825910.1,"1368. Mamastrovirus sp. isolate 232633(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1368. Mamastrovirus sp. isolate 232633(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825909.1,"1369. Mamastrovirus sp. isolate 232632(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1369. Mamastrovirus sp. isolate 232632(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825908.1,"1370. Mamastrovirus sp. isolate 232630(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1370. Mamastrovirus sp. isolate 232630(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825907.1,"1371. Mamastrovirus sp. isolate 232627(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1371. Mamastrovirus sp. isolate 232627(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825906.1,"1372. Mamastrovirus sp. isolate 232611(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1372. Mamastrovirus sp. isolate 232611(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825905.1,"1373. Mamastrovirus sp. isolate 232451(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1373. Mamastrovirus sp. isolate 232451(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825904.1,"1374. Mamastrovirus sp. isolate 232449(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1374. Mamastrovirus sp. isolate 232449(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825903.1,"1375. Mamastrovirus sp. isolate 232447(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1375. Mamastrovirus sp. isolate 232447(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825902.1,"1376. Mamastrovirus sp. isolate 232444(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1376. Mamastrovirus sp. isolate 232444(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825901.1,"1377. Mamastrovirus sp. isolate 232440(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1377. Mamastrovirus sp. isolate 232440(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825900.1,"1378. Mamastrovirus sp. isolate 232439(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1378. Mamastrovirus sp. isolate 232439(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825899.1,"1379. Mamastrovirus sp. isolate 232438(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1379. Mamastrovirus sp. isolate 232438(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825898.1,"1380. Mamastrovirus sp. isolate 232436(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1380. Mamastrovirus sp. isolate 232436(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825897.1,"1381. Mamastrovirus sp. isolate 232426(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1381. Mamastrovirus sp. isolate 232426(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825896.1,"1382. Mamastrovirus sp. isolate 232424(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1382. Mamastrovirus sp. isolate 232424(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825895.1,"1383. Mamastrovirus sp. isolate 232423(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1383. Mamastrovirus sp. isolate 232423(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825894.1,"1384. Mamastrovirus sp. isolate 232422(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1384. Mamastrovirus sp. isolate 232422(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825893.1,"1385. Mamastrovirus sp. isolate 232416(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1385. Mamastrovirus sp. isolate 232416(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825892.1,"1386. Mamastrovirus sp. isolate 231015(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1386. Mamastrovirus sp. isolate 231015(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825891.1,"1387. Mamastrovirus sp. isolate 231014(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1387. Mamastrovirus sp. isolate 231014(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825890.1,"1388. Mamastrovirus sp. isolate 231011(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1388. Mamastrovirus sp. isolate 231011(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825889.1,"1389. Mamastrovirus sp. isolate 231010(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1389. Mamastrovirus sp. isolate 231010(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825888.1,"1390. Mamastrovirus sp. isolate 231009(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1390. Mamastrovirus sp. isolate 231009(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825887.1,"1391. Mamastrovirus sp. isolate 230797(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1391. Mamastrovirus sp. isolate 230797(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825886.1,"1392. Mamastrovirus sp. isolate 230795(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1392. Mamastrovirus sp. isolate 230795(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825885.1,"1393. Mamastrovirus sp. isolate 230794(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1393. Mamastrovirus sp. isolate 230794(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825884.1,"1394. Mamastrovirus sp. isolate 230793(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1394. Mamastrovirus sp. isolate 230793(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825883.1,"1395. Mamastrovirus sp. isolate 230792(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1395. Mamastrovirus sp. isolate 230792(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825882.1,"1396. Mamastrovirus sp. isolate 230791(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1396. Mamastrovirus sp. isolate 230791(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825881.1,"1397. Mamastrovirus sp. isolate 230788(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1397. Mamastrovirus sp. isolate 230788(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825880.1,"1398. Mamastrovirus sp. isolate 230787(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1398. Mamastrovirus sp. isolate 230787(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825879.1,"1399. Mamastrovirus sp. isolate 230786(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1399. Mamastrovirus sp. isolate 230786(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825878.1,"1400. Mamastrovirus sp. isolate 230785(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1400. Mamastrovirus sp. isolate 230785(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825877.1,"1401. Mamastrovirus sp. isolate 230784(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1401. Mamastrovirus sp. isolate 230784(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825876.1,"1402. Mamastrovirus sp. isolate 230783(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1402. Mamastrovirus sp. isolate 230783(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825875.1,"1403. Mamastrovirus sp. isolate 230782(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1403. Mamastrovirus sp. isolate 230782(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825874.1,"1404. Mamastrovirus sp. isolate 230781(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1404. Mamastrovirus sp. isolate 230781(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825873.1,"1405. Mamastrovirus sp. isolate 230780(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1405. Mamastrovirus sp. isolate 230780(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825872.1,"1406. Mamastrovirus sp. isolate 230777(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1406. Mamastrovirus sp. isolate 230777(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825871.1,"1407. Mamastrovirus sp. isolate 230776(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1407. Mamastrovirus sp. isolate 230776(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825870.1,"1408. Mamastrovirus sp. isolate 230911(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1408. Mamastrovirus sp. isolate 230911(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825869.1,"1409. Mamastrovirus sp. isolate 233669(Anhui) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1409. Mamastrovirus sp. isolate 233669(Anhui) RNA-dependent RNA polymerase gene, partial cds",,
PP825868.1,"1410. Mamastrovirus sp. isolate 233668(Anhui) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1410. Mamastrovirus sp. isolate 233668(Anhui) RNA-dependent RNA polymerase gene, partial cds",,
PP825867.1,"1411. Mamastrovirus sp. isolate 234438(Anhui) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1411. Mamastrovirus sp. isolate 234438(Anhui) RNA-dependent RNA polymerase gene, partial cds",,
PP825866.1,"1412. Mamastrovirus sp. isolate 232783(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1412. Mamastrovirus sp. isolate 232783(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825865.1,"1413. Mamastrovirus sp. isolate 232770(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1413. Mamastrovirus sp. isolate 232770(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825864.1,"1414. Mamastrovirus sp. isolate 232741(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1414. Mamastrovirus sp. isolate 232741(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825863.1,"1415. Mamastrovirus sp. isolate 230092(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1415. Mamastrovirus sp. isolate 230092(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825862.1,"1416. Mamastrovirus sp. isolate 230091(Guangxi) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1416. Mamastrovirus sp. isolate 230091(Guangxi) RNA-dependent RNA polymerase gene, partial cds",,
PP825861.1,"1417. Mamastrovirus sp. isolate 232782(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1417. Mamastrovirus sp. isolate 232782(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825860.1,"1418. Mamastrovirus sp. isolate 232767(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1418. Mamastrovirus sp. isolate 232767(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825859.1,"1419. Mamastrovirus sp. isolate 232764(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1419. Mamastrovirus sp. isolate 232764(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825858.1,"1420. Mamastrovirus sp. isolate 232759(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1420. Mamastrovirus sp. isolate 232759(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP825857.1,"1421. Mamastrovirus sp. isolate 232738(Guangdong) RNA-dependent RNA polymerase gene, partial cds",396 bp linear RNA,"1421. Mamastrovirus sp. isolate 232738(Guangdong) RNA-dependent RNA polymerase gene, partial cds",,
PP806170.1,"1422. Porcine astrovirus 4 isolate PoAstV-4-USA-2022-ORF2-ISUVDL ORF2 gene, partial cds","2,396 bp linear RNA","1422. Porcine astrovirus 4 isolate PoAstV-4-USA-2022-ORF2-ISUVDL ORF2 gene, partial cds",,
PP646881.2,"1423. Goat astrovirus isolate GX/WZ/2023, complete genome","6,284 bp linear RNA","1423. Goat astrovirus isolate GX/WZ/2023, complete genome",,
PP782511.1,"1424. Mamastrovirus 1 isolate DT-22-40/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1424. Mamastrovirus 1 isolate DT-22-40/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782510.1,"1425. Mamastrovirus 1 isolate DT-22-32/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1425. Mamastrovirus 1 isolate DT-22-32/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782509.1,"1426. Mamastrovirus 1 isolate DT-22-26/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1426. Mamastrovirus 1 isolate DT-22-26/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782508.1,"1427. Mamastrovirus 1 isolate DT-22-25/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1427. Mamastrovirus 1 isolate DT-22-25/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782507.1,"1428. Mamastrovirus 1 isolate DT-22-22/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1428. Mamastrovirus 1 isolate DT-22-22/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782506.1,"1429. Mamastrovirus 1 isolate DT-22-17/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1429. Mamastrovirus 1 isolate DT-22-17/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782505.1,"1430. Mamastrovirus 1 isolate DT-22-16/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1430. Mamastrovirus 1 isolate DT-22-16/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782504.1,"1431. Mamastrovirus 1 isolate DT-22-15/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1431. Mamastrovirus 1 isolate DT-22-15/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782503.1,"1432. Mamastrovirus 1 isolate GC-170/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1432. Mamastrovirus 1 isolate GC-170/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782502.1,"1433. Mamastrovirus 1 isolate GC-154/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1433. Mamastrovirus 1 isolate GC-154/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782501.1,"1434. Mamastrovirus 1 isolate GC-143/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1434. Mamastrovirus 1 isolate GC-143/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782500.1,"1435. Mamastrovirus 1 isolate GC-139/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1435. Mamastrovirus 1 isolate GC-139/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782499.1,"1436. Mamastrovirus 1 isolate GC-136/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1436. Mamastrovirus 1 isolate GC-136/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782498.1,"1437. Mamastrovirus 1 isolate GC-135/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1437. Mamastrovirus 1 isolate GC-135/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782497.1,"1438. Mamastrovirus 1 isolate GC-134/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1438. Mamastrovirus 1 isolate GC-134/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782496.1,"1439. Mamastrovirus 1 isolate GC-120/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1439. Mamastrovirus 1 isolate GC-120/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782495.1,"1440. Mamastrovirus 1 isolate GC-112/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1440. Mamastrovirus 1 isolate GC-112/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782494.1,"1441. Mamastrovirus 1 isolate GC-108/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1441. Mamastrovirus 1 isolate GC-108/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782493.1,"1442. Mamastrovirus 1 isolate GC-103/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1442. Mamastrovirus 1 isolate GC-103/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782492.1,"1443. Mamastrovirus 1 isolate GC-101/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1443. Mamastrovirus 1 isolate GC-101/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782491.1,"1444. Mamastrovirus 1 isolate GC-096/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1444. Mamastrovirus 1 isolate GC-096/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782490.1,"1445. Mamastrovirus 1 isolate GC-087/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1445. Mamastrovirus 1 isolate GC-087/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
